date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:35	55183/55183	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/events.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/events.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:36	73503/73503	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/event-details.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/event-details.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:36	53530/53530	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/zoom-meetings-and-webinars.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/zoom-meetings-and-webinars.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:37	54267/54267	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/meeting-details.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/meeting-details.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:37	49631/49631	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/instructors.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/instructors.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:38	52669/52669	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/instructor-details.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/instructor-details.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:38	47671/47671	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/forget-password.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/forget-password.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:39	72800/72800	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/profile.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/profile.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:39	55894/55894	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/edit-account.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/edit-account.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:40	48524/48524	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/terms-service.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/terms-service.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
